$Inflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY 1.0= 1/1/2000 12am,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,H2S,CH4,SO4,Tracer,Cond,TCol,ECol,ISS1,PO4,NH4,NO3,LDOM,RDOM,LPOM,RPOM,ALG1,DO,TIC,ALK,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
4445,57.61,0,0,4.972,0,128.3,1342,219.2,22.3,0.1049,3.86E-02,0.19,0.1569,0.1569,0.1569,0.1569,0.1,7.9,11.41,45.72,7.85E-04,7.85E-04,7.85E-04,7.85E-04,1.26E-02,1.26E-02,1.26E-02,1.26E-02
4446,57.61,0,0,4.973,0,128.8,1342,219.2,22.3,0.1055,3.84E-02,0.19,0.1565,0.1565,0.1565,0.1565,0.1,7.9,11.37,45.57,7.83E-04,7.83E-04,7.83E-04,7.83E-04,1.25E-02,1.25E-02,1.25E-02,1.25E-02
4447,57.61,0,0,4.975,0,129.4,1342,219.2,22.29,0.1061,3.83E-02,0.19,0.156,0.156,0.156,0.156,0.1,7.9,11.34,45.41,7.80E-04,7.80E-04,7.80E-04,7.80E-04,1.25E-02,1.25E-02,1.25E-02,1.25E-02
4448,57.62,0,0,4.976,0,129.9,1342,219.2,22.28,0.1067,3.81E-02,0.19,0.1556,0.1556,0.1556,0.1556,0.1,7.9,11.3,45.26,7.78E-04,7.78E-04,7.78E-04,7.78E-04,1.25E-02,1.25E-02,1.25E-02,1.25E-02
4449,57.62,0,0,4.977,0,130.5,1342,219.2,22.27,0.1073,3.79E-02,0.19,0.1551,0.1551,0.1551,0.1551,0.1,7.9,11.26,45.11,7.76E-04,7.76E-04,7.76E-04,7.76E-04,1.24E-02,1.24E-02,1.24E-02,1.24E-02
4450,57.63,0,0,4.979,0,131,1342,219.2,22.26,0.1079,3.78E-02,0.19,0.1547,0.1547,0.1547,0.1547,0.1,7.9,11.23,44.95,7.74E-04,7.74E-04,7.74E-04,7.74E-04,1.24E-02,1.24E-02,1.24E-02,1.24E-02
4451,57.63,0,0,4.98,0,129.3,1342,219.2,22.26,0.1085,3.76E-02,0.19,0.1542,0.1542,0.1542,0.1542,0.1,7.9,11.19,44.8,7.71E-04,7.71E-04,7.71E-04,7.71E-04,1.23E-02,1.23E-02,1.23E-02,1.23E-02
4452,57.63,0,0,4.981,0,127.6,1342,219.2,22.25,0.109,3.74E-02,0.19,0.1538,0.1538,0.1538,0.1538,0.1,7.9,11.16,44.65,7.69E-04,7.69E-04,7.69E-04,7.69E-04,1.23E-02,1.23E-02,1.23E-02,1.23E-02
4453,57.64,0,0,4.983,0,125.9,1342,219.2,22.24,0.1096,3.73E-02,0.19,0.1533,0.1533,0.1533,0.1533,0.1,7.9,11.13,44.49,7.67E-04,7.67E-04,7.67E-04,7.67E-04,1.23E-02,1.23E-02,1.23E-02,1.23E-02
4454,57.64,0,0,4.984,0,124.1,1342,219.2,22.23,0.1102,3.71E-02,0.19,0.1529,0.1529,0.1529,0.1529,0.1,7.9,11.09,44.34,7.64E-04,7.64E-04,7.64E-04,7.64E-04,1.22E-02,1.22E-02,1.22E-02,1.22E-02
4455,57.64,0,0,4.985,0,122.4,1342,219.2,22.22,0.1108,3.69E-02,0.19,0.1524,0.1524,0.1524,0.1524,0.1,7.9,11.06,44.19,7.62E-04,7.62E-04,7.62E-04,7.62E-04,1.22E-02,1.22E-02,1.22E-02,1.22E-02
4456,57.65,0,0,4.986,0,120.7,1342,219.2,22.22,0.1114,3.67E-02,0.19,0.152,0.152,0.152,0.152,0.1,7.9,11.02,44.03,7.60E-04,7.60E-04,7.60E-04,7.60E-04,1.22E-02,1.22E-02,1.22E-02,1.22E-02
4457,57.65,0,0,4.988,0,119,1342,219.2,22.21,0.112,3.66E-02,0.19,0.1515,0.1515,0.1515,0.1515,0.1,7.9,10.99,43.88,7.58E-04,7.58E-04,7.58E-04,7.58E-04,1.21E-02,1.21E-02,1.21E-02,1.21E-02
