$R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY 1.0= 1/1/2000 12am,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,H2S,CH4,SO4,Tracer,Cond,TCol,ECol,ISS1,PO4,NH4,NO3,LDOM,RDOM,LPOM,RPOM,ALG1,DO,TIC,ALK,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
4463,48.64,0,0,1.126,0,44.17,1600,180,5.026,5.89E-02,8.45E-02,0.16,6.94E-02,6.94E-02,6.94E-02,6.94E-02,0.1,7.9,6.36,19.43,3.47E-04,3.47E-04,3.47E-04,3.47E-04,5.55E-03,5.55E-03,5.55E-03,5.55E-03
4464,48.59,0,0,1.126,0,43.8,1600,180,5.15,5.92E-02,8.39E-02,0.16,7.00E-02,7.00E-02,7.00E-02,7.00E-02,0.1,7.9,6.352,19.41,3.50E-04,3.50E-04,3.50E-04,3.50E-04,5.60E-03,5.60E-03,5.60E-03,5.60E-03
4465,48.54,0,0,1.125,0,43.43,1600,180,5.273,5.95E-02,8.33E-02,0.16,7.06E-02,7.06E-02,7.06E-02,7.06E-02,0.1,7.9,6.345,19.39,3.53E-04,3.53E-04,3.53E-04,3.53E-04,5.65E-03,5.65E-03,5.65E-03,5.65E-03
4466,48.49,0,0,1.124,0,43.06,1600,180,5.397,5.99E-02,8.28E-02,0.16,7.12E-02,7.12E-02,7.12E-02,7.12E-02,0.1,7.9,6.337,19.36,3.56E-04,3.56E-04,3.56E-04,3.56E-04,5.69E-03,5.69E-03,5.69E-03,5.69E-03
4467,48.44,0,0,1.123,0,42.69,1600,180,5.52,6.02E-02,8.22E-02,0.16,7.18E-02,7.18E-02,7.18E-02,7.18E-02,0.1,7.9,6.329,19.34,3.59E-04,3.59E-04,3.59E-04,3.59E-04,5.74E-03,5.74E-03,5.74E-03,5.74E-03
4468,48.39,0,0,1.123,0,42.31,1600,180,5.644,6.05E-02,8.16E-02,0.16,7.24E-02,7.24E-02,7.24E-02,7.24E-02,0.1,7.9,6.322,19.32,3.62E-04,3.62E-04,3.62E-04,3.62E-04,5.79E-03,5.79E-03,5.79E-03,5.79E-03
4469,48.34,0,0,1.122,0,41.94,1600,180,5.768,6.09E-02,8.10E-02,0.16,7.30E-02,7.30E-02,7.30E-02,7.30E-02,0.1,7.9,6.314,19.3,3.65E-04,3.65E-04,3.65E-04,3.65E-04,5.84E-03,5.84E-03,5.84E-03,5.84E-03
4470,48.29,0,0,1.121,0,41.57,1600,180,5.891,6.12E-02,8.04E-02,0.16,7.36E-02,7.36E-02,7.36E-02,7.36E-02,0.1,7.9,6.306,19.28,3.68E-04,3.68E-04,3.68E-04,3.68E-04,5.89E-03,5.89E-03,5.89E-03,5.89E-03
4471,48.24,0,0,1.121,0,41.2,1600,180,6.015,6.15E-02,7.98E-02,0.16,7.42E-02,7.42E-02,7.42E-02,7.42E-02,0.1,7.9,6.299,19.26,3.71E-04,3.71E-04,3.71E-04,3.71E-04,5.93E-03,5.93E-03,5.93E-03,5.93E-03
4472,48.18,0,0,1.12,0,40.83,1600,180,6.139,6.19E-02,7.92E-02,0.16,7.48E-02,7.48E-02,7.48E-02,7.48E-02,0.1,7.9,6.291,19.24,3.74E-04,3.74E-04,3.74E-04,3.74E-04,5.98E-03,5.98E-03,5.98E-03,5.98E-03
