$ QGT_BON_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_BON_2011_2015_daily_ave.csv ; all outlets scaled to total flow from BONNEVILLE_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 40544, 41557, 41593, 41600, 41661, 41678, 41687, 41718, 41754, 41823, 41830, 41836, 41845, 41867, 41958, 41971, 41978, 41993, 42154, 42242, 42264, 42296 that are  1009, 13, 2, 3, 3, 2, 2, 3, 2, 3, 3, 6, 2, 3, 3, 2, 2, 2, 2, 14, 4, 20 days long
"JDAY","POWR1","SB1","SB2","SB3","SB4","SB5","SB6","SB7","SB8","SB9","SB10","SB11","SB12","SB13","SB14","SB15","SB16","SB17","SB18","MISC"
40648,3520.386,327.256,327.498,327.503,276.952,276.183,249.115,231.847,235.831,273.344,224.573,222.897,275.959,231.554,275.061,276.433,328.201,322.677,327.965,0
40649,3767.213,276.711,276.737,276.424,233.1,232.724,224.38,191.454,192.377,227.703,187.829,187.715,233.643,187.726,232.742,232.898,276.632,272.299,276.485,0
40650,3710.797,318.973,318.885,318.297,268.344,268.316,264.979,220.711,222.2,264.977,219.923,216.064,269.815,223.644,267.912,268.366,318.685,313.385,318.263,0
40651,2836.168,267.007,266.946,266.423,224.605,225.093,223.198,183.977,185.975,219.769,185.173,180.637,226.709,183.068,224.321,224.611,267.067,262.642,266.514,0
40652,3323.943,260.693,260.546,260.068,219.097,219.991,217.592,179.627,181.598,216.2,180.782,176.267,219.372,179.27,219,219.212,258.093,256.33,260.2,0
40653,4127.43,250.136,250.209,249.615,210.32,211.428,209.2,176.527,178.02,203.124,173.334,169.127,211.368,175.446,210.232,210.588,247.41,245.85,249.791,0
40654,3775.182,256.842,256.591,256.119,216.245,222.907,214.195,197.575,197.745,193.202,177.908,173.631,213.778,199.719,215.804,222.747,253.731,252.19,256.373,0
40655,3546.803,284.053,283.484,283.116,238.861,249.552,236.367,222.666,222.579,213.014,196.867,192.035,235.199,225.368,238.454,249.787,280.344,279.028,283.347,0
40656,3653.283,262.328,261.629,261.459,220.286,230.194,212.514,205.2,204.434,195.594,181.777,177.53,216.116,206.681,220.182,230.53,259.232,257.646,261.662,0
40657,3618.608,317.817,317.096,316.844,267.246,269.987,259.246,232.135,231.941,248.284,220.333,215.011,262.383,230.705,266.736,271.387,314.366,312.605,317.064,0
40658,3454.436,274.557,274.044,273.719,231.033,233.084,213.77,189.256,190.216,228.435,190.332,185.523,227.7,187.147,230.429,234.472,271.635,269.956,273.912,0
40659,2353.613,335.986,335.205,334.894,282.53,286.98,255.489,233.08,234.597,281.812,234.667,226.127,279.374,230.232,281.393,289.102,334.838,335.187,335.021,0
40660,3953.688,246.833,248.378,246.91,211.14,210.547,184.495,174.54,173.578,191.675,173,169.354,207.983,171.664,208.328,214.321,248.088,238.18,246.826,0
40661,3539.638,244.376,244.277,243.97,206.175,207.944,177.252,174.543,169.918,199.119,167.957,165.062,205.018,167.841,205.421,209.205,244.239,240.882,244.19,0
40662,3626.055,276.821,276.605,276.486,233.585,235.484,205.779,196.772,192.4,230.905,187.984,189.568,230.671,192.396,232.753,237.023,276.758,272.905,276.706,0
40663,3368.634,279.446,279.491,279.217,233.923,229.232,204.815,196.193,197.19,220.978,189.747,193.33,224.757,215.367,242.281,249.406,279.571,275.835,279.417,0
40664,3494.118,250.235,250.357,250.033,208.595,202.952,193.911,182.43,182.735,187.262,169.981,172.957,199.805,208.412,220.08,227.656,250.412,246.756,250.222,0
40665,3112.196,217.866,217.887,217.633,181.521,182.316,160.658,152.733,153.74,170.134,148.04,150.423,181.488,176.082,192.323,198.97,217.951,214.48,217.808,0
40666,7697.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.869,0
40667,7473.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.188,0
40668,3638.137,233.136,235.139,233.732,198.153,198.977,183.503,176.968,177.276,173.818,162.447,165.501,190.284,191.09,199.944,206.067,235.208,225.707,233.152,0
40669,3797.908,254.424,263.287,258.692,227.995,223.865,218.347,217.216,209.883,189.423,182.49,191.002,221.687,216.464,220.79,231.142,265.128,237.112,257.774,0
40670,3988.886,244.822,247.536,247.742,209.477,211.985,201.275,194.518,194.841,185.789,169.787,175.475,209.781,192.147,208.758,212.986,248.041,241.238,245.63,0
40671,3691.947,229.875,232.542,232.633,195.778,198.681,188.416,182.374,182.851,174.14,158.952,161.68,194.947,178.666,196.04,199.568,232.527,226.63,232.374,0
40672,3124.361,226.266,228.273,228.81,192.101,193.935,182.614,178.883,178.46,170.895,155.838,160.936,192.186,175.535,192.254,196.049,228.307,223.336,228.211,0
40673,3041.034,253.753,253.454,254.231,214.014,214.2,201.377,195.573,196.5,186.019,172.239,175.558,213.53,193.104,213.274,217.259,253.601,250.429,253.487,0
40674,3693.811,309.687,309.135,310.134,260.892,261.157,253.91,238.957,239.447,233.59,210.126,214.175,260.228,236.331,260.234,264.995,309.31,305.695,309.303,0
40675,4272.096,268.02,278.211,279.272,238.418,238.766,230.761,229.315,229.484,202.649,192.745,208.881,234.972,228.482,236.035,239.999,278.217,264.346,280,0
40676,4129.647,244.427,251.436,252.363,215.992,216.229,208.746,208.318,208.611,182.387,174.186,188.642,213.133,209.593,213.24,216.903,251.396,238.818,252.978,0
40677,4275.283,240.106,239.625,240.402,202.101,204.025,194.787,189.441,189.746,174.926,163.21,166.151,202.563,188.292,201.735,205.138,239.748,236.1,239.803,0
40678,4915.813,280.293,279.901,280.882,248.408,239.856,234.064,230.444,230.942,202.349,193.765,208.091,238.899,229.533,237.254,244.036,280.006,266.532,290.551,0
40679,5075.354,343.385,342.992,344.089,292.341,291.843,286.068,276.864,277.808,249.698,234.198,241.599,291.21,275.66,289.217,294.082,343.09,335.924,343.638,0
40680,4924.58,343.944,347.054,348.41,305.637,298.353,289.73,288.405,287.935,253.126,243.807,262.53,295.561,284.386,292.338,301.028,346.995,320.959,343.533,0
40681,6107.369,344.606,361.976,363.332,314.388,305.668,297.403,295.179,292.033,273.187,264.811,268.982,302.589,291.747,299.549,318.421,362.053,305.894,344.344,0
40682,6441.377,370.652,397.041,390.487,346.862,345.575,337.894,333.076,328.54,307.807,295.844,302.86,343.686,334.208,341.312,350.202,389.108,329.942,370.366,0
40683,12536.574,0,0,0,0,0,2.81,0,0,0,0,0,0,0,0,0,0,0,28.366,0
40684,6729.571,372.522,387.106,384.113,346.126,337.46,326.206,313.281,311.046,290.591,281.754,287.656,321.518,319.194,325.433,350.077,387.187,330.651,372.299,0
40685,6865.441,380.69,383.865,384.947,343.225,331.645,325.3,314.112,313.826,281.297,275.142,288.302,321.273,321.266,324.614,347.2,388.249,348.85,386.424,0
40686,6788.472,388.866,407.511,401.058,353.932,336.74,329.119,329.042,311.199,287.129,277.455,285.264,335.557,326.791,333.532,358.244,407.614,347.343,388.624,0
40687,6953.635,374.325,403.203,394.01,351.694,354.143,347.166,346.017,327.219,306.774,297.439,302.162,344.977,341.116,350.903,355.955,397.105,333.683,373.954,0
40688,7392.379,382.571,417.863,410.406,366.939,367.73,360.932,359.2,342.75,321.502,311.861,331.795,367.315,356.411,364.359,371.187,416.675,341.396,382.211,0
40689,7014.696,374.329,396.097,397.016,356.096,344.659,334.746,331.483,330.376,312.981,301.587,308.299,341.595,328.835,338.76,357.736,396.074,333.797,374.228,0
40690,7472.151,391.03,429.511,430.845,393.548,377.974,371.576,366.576,366.901,351.846,328.068,342.431,382.469,361.705,393.657,399.295,429.549,349.581,391.086,0
40691,6958.893,370.426,405.671,406.835,371.825,358.548,353.365,343.585,337.839,335.783,307.405,323.967,360.594,342.053,370.22,375.638,405.671,331.3,370.441,0
40692,6855.717,0,494.487,495.233,442.752,429.995,0,430.011,414.14,379.081,382.272,379.755,421.642,423.098,422.287,440.914,494.709,495.186,446.94,0
40693,6261.899,433.763,454.911,456.373,411.785,411.083,397.33,366.62,365.617,367.759,343.023,349.16,387.638,376.37,403.436,413.121,455.239,393.527,433.676,0
40694,7879.9,336.832,356.969,347.77,343.229,309.884,309.804,303.265,291.859,267.415,269.6,287.869,301.31,305.701,310.591,343.729,380.816,266.574,356.842,0
40695,7403.432,418.229,421.049,420.264,381.503,359.044,320.817,320.329,332.362,307.454,294.781,314.709,354.263,321.482,356.372,382.66,440.239,387.534,434.438,0
40696,7562.657,389.498,408.245,405.976,358.802,351.955,335.316,320.154,312.765,325.602,295.163,298.711,337.778,318.118,350.936,359.056,408.517,346.812,388.889,0
40697,7246.554,441.303,446.053,447.616,385.646,379.001,367.563,359.959,347.482,331.623,314.393,327.704,370.672,358.946,371.078,389.414,446.206,410.314,445.595,0
40698,7224.833,407.707,421.898,423.074,359.58,364.997,353.622,342.854,327.335,311.179,294.458,308.302,350.408,335.334,349.518,366.568,422.012,395.705,419.536,0
40699,7429.124,405.49,416.912,417.786,354.106,357.56,347.93,322.066,320.907,317.801,289.254,298.437,349.277,322.705,346.443,361.647,417.13,395.428,413.506,0
