$BON Elev-Tailwater CBT-REV [NAVD88],,
CY2011 - 2015,,12/31/2010
JDAY,ElevFT,
41278,19.151772,
41279,18.81010533,
41280,18.314272,
41281,17.91010533,
41282,18.74760533,
41283,21.05593867,
41284,20.339272,
41285,20.26843867,
41286,20.214272,
41287,20.06010533,
41288,19.76843867,
41289,20.201772,
41290,20.476772,
41291,20.439272,
41292,19.10593867,
41293,18.101772,
41294,18.03510533,
41295,18.76843867,
41296,19.09760533,
41297,19.426772,
41298,18.19760533,
41299,19.06843867,
41300,17.951772,
41301,17.20593867,
41302,17.03093867,
41303,16.98093867,
41304,17.39343867,
41305,19.014272,
41306,17.66843867,
41307,16.99760533,
41308,17.02260533,
41309,17.02260533,
41310,17.026772,
41311,16.98510533,
41312,16.96010533,
41313,17.03510533,
41314,17.01843867,
41315,16.98510533,
41316,17.026772,
41317,17.03510533,
41318,17.014272,
41319,16.964272,
41320,16.976772,
41321,17.00593867,
41322,17.05593867,
41323,16.98510533,
41324,17.01843867,
41325,16.82260533,
41326,16.55593867,
41327,16.24343867,
41328,16.064272,
41329,15.79760533,
41330,15.59760533,
41331,15.39760533,
41332,15.389272,
41333,15.414272,
41334,15.44343867,
41335,15.33510533,
41336,15.289272,
41337,15.32260533,
41338,15.364272,
41339,15.389272,
41340,15.44343867,
41341,15.36010533,
41342,15.35593867,
41343,15.46843867,
41344,15.426772,
41345,15.42260533,
41346,15.40593867,
41347,15.36010533,
41348,15.36010533,
41349,15.38093867,
41350,15.38093867,
41351,15.339272,
41352,15.376772,
41353,15.35593867,
41354,15.34343867,
41355,15.726772,
41356,15.99760533,
41357,15.85593867,
41358,15.79343867,
41359,16.06843867,
41360,15.889272,
41361,16.126772,
41362,16.114272,
41363,18.36843867,
41364,18.58093867,
41365,19.12260533,
41366,18.09343867,
41367,18.126772,
41368,19.61010533,
41369,21.36010533,
41370,21.58093867,
41371,23.42010533,
41372,23.451772,
41373,25.14760533,
41374,25.55593867,
41375,25.164272,
41376,26.22260533,
41377,24.09343867,
41378,23.739272,
41379,24.79760533,
41380,25.30593867,
41381,23.85593867,
41382,22.701772,
41383,21.71843867,
41384,21.589272,
41385,22.126772,
41386,23.29343867,
41387,22.26843867,
41388,20.86010533,
41389,21.04343867,
41390,20.826772,
41391,21.53093867,
41392,21.90593867,
41393,21.55593867,
41394,22.41010533,
41395,22.86843867,
41396,21.85593867,
41397,22.24760533,
41398,21.56010533,
41399,21.80593867,
41400,21.51010533,
41401,22.45593867,
41402,23.689272,
41403,24.23510533,
41404,25.76010533,
41405,27.94343867,
41406,28.23510533,
41407,27.614272,
41408,27.62260533,
41409,28.164272,
41410,27.86010533,
41411,26.26843867,
41412,27.01010533,
41413,27.139272,
41414,26.614272,
41415,25.76843867,
41416,24.53510533,
41417,26.301772,
41418,26.264272,
41419,25.489272,
41420,26.26843867,
41421,25.94760533,
41422,26.026772,
41423,25.49760533,
41424,24.08093867,
41425,24.476772,
41426,23.55593867,
41427,21.464272,
41428,23.46010533,
41429,22.82260533,
41430,23.17260533,
41431,23.62260533,
41432,22.81843867,
41433,22.80593867,
41434,22.826772,
41435,23.43510533,
41436,21.65593867,
41437,22.59343867,
41438,23.34343867,
41439,22.701772,
41440,22.639272,
41441,21.176772,
41442,20.74343867,
41443,21.18093867,
41444,20.47260533,
41445,21.20593867,
41446,21.61010533,
41447,23.22260533,
41448,23.789272,
41449,23.43510533,
41450,24.34343867,
41451,24.17260533,
41452,24.576772,
41453,24.289272,
41454,25.026772,
41455,24.60593867,
41456,24.39760533,
41457,24.789272,
41458,24.56010533,
41459,24.12260533,
41460,24.126772,
41461,24.239272,
41462,23.526772,
41463,22.826772,
41464,21.951772,
41465,20.40593867,
41466,20.45593867,
