$ THE DALLES_OUTFLOW.npt based on $//THE DALLES_OUT/FLOW/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
41829,7034.313
41830,6584.812
41831,6548.975
41832,6316.031
41833,7311.496
41834,5698.825
41835,5995.714
41836,5588.277
41837,5836.466
41838,5616.437
41839,5904.481
41840,5447.063
41841,5511.215
41842,5838.831
41843,5453.031
41844,5292.999
41845,5534.996
41846,6573.302
41847,5845.85
41848,5671.069
41849,6083.162
41850,5256.096
41851,5410.506
41852,5400.792
41853,4726.859
41854,4461.821
41855,4157.252
41856,4765.479
41857,4158.452
41858,4358.317
41859,4461.037
41860,4583.661
41861,4667.127
41862,4447.4
41863,4799.333
41864,4341.126
41865,4617.024
41866,4669.423
41867,4051.086
41868,3950.882
41869,3650.296
41870,3766.065
41871,3996.571
41872,3793.979
41873,3883.013
41874,4136.673
41875,4122.271
41876,3834.793
41877,3828.846
41878,3548.053
41879,3923.074
41880,3847.967
41881,4009.199
41882,3543.741
41883,3884.296
41884,2973.935
41885,2913.633
41886,3001.712
41887,3325.356
41888,3010.717
41889,3131.736
41890,2339.124
41891,2132.948
41892,2086.138
41893,2383.146
41894,2406.024
41895,2771.563
41896,2994.864
41897,2561.981
41898,2664.14
41899,2600.911
41900,2829.049
41901,2554.862
41902,2757.802
41903,2415.203
41904,2571.776
41905,2536.983
41906,3197.805
41907,3266.191
41908,3306.715
41909,2801.765
41910,2729.411
41911,2378.975
41912,2186.649
41913,2299.399
41914,2245.031
41915,2831.757
41916,2966.083
41917,2271.984
41918,2332.179
41919,2799.206
41920,2930.483
41921,3245.03
41922,3233.917
41923,2784.563
41924,2568.193
41925,2587.239
41926,2685.597
41927,2881.767
41928,2413.177
41929,2902.602
41930,2993.649
41931,2558.53
41932,2384.435
41933,2294.611
41934,2713.052
41935,2529.597
41936,2688.26
41937,2838.208
41938,2578.634
41939,2442.463
41940,2480.511
41941,3172.825
41942,2935.928
41943,3026.52
41944,3423.991
41945,2874.342
41946,3113.55
41947,3082.899
41948,2787.145
41949,3037.589
41950,2899.281
41951,3609.072
41952,3353.77
41953,3129.6
41954,3708.668
41955,3773.616
41956,4129.891
41957,4292.222
41958,4004.268
41959,4120.163
41960,4635.921
41961,4966.206
41962,4292.334
41963,4010.79
41964,4038.75
41965,3856.939
41966,3635.669
41967,3427.185
41968,3364.421
41969,3366.982
41970,3416.334
41971,3419.938
41972,3039.137
41973,4066.473
41974,4197.805
41975,4651.23
41976,5227.085
41977,5130.134
41978,4665.006
41979,4597.199
41980,3917.547
41981,3837.735
41982,3456.842
41983,4005.191
41984,4743.049
41985,4199.889
41986,4102.902
41987,4227.754
41988,4464.95
41989,4279.573
41990,4360.224
41991,4202.528
41992,4868.888
41993,5029.934
41994,5427.601
41995,5138.632
41996,5064.613
41997,4133.839
41998,4144.12
41999,4143.827
42000,4586.813
42001,4655.449
42002,4638.96
42003,5092.381
42004,5250.173
42005,5578.003
42006,5571.391
42007,5216.458
42008,5317.294
42009,5792.774
42010,5049.539
42011,4472.292
42012,5248.532
42013,5175.316
42014,5246.197
42015,5070.656
42016,5093.717
42017,5229.215
42018,5570.158
42019,5459.395
42020,5371.494
42021,4831.353
42022,5470.2
42023,4939.685
42024,5127.225
42025,5148.326
42026,5940.545
42027,5840.849
42028,5581.084
42029,5013.089
42030,4962.115
42031,5056.88
42032,5453.148
42033,5677.436
42034,5541.521
42035,5816.994
42036,5806.89
42037,5803.39
42038,6272.82
42039,5618.793
42040,6053.084
42041,6396.207
42042,6162.886
42043,6521.675
42044,6968.002
42045,6032.228
42046,6821.709
42047,6808.777
42048,7491.827
42049,6683.555
42050,6275.489
42051,6730.076
42052,6679.811
42053,6514.626
42054,7007.917
42055,6587.288
42056,6864.346
42057,6527.547
42058,6591.866
42059,6217.393
42060,6302.154
42061,5711.431
42062,5381.79
42063,5882.963
42064,5764.924
42065,5451.499
42066,5539.461
42067,4910.31
42068,4894.265
42069,5603.861
42070,6249.427
42071,5827.125
42072,5233.887
42073,5106.602
42074,5013.945
42075,4991.144
42076,4861.186
42077,4721.015
42078,4052.181
42079,4042.625
42080,5486.303
42081,5408.785
42082,5106.881
42083,5819.498
42084,5266.289
42085,5308.014
42086,6149.955
42087,5829.816
42088,5632.618
42089,6052.564
42090,5505.667
42091,6092.852
42092,5555.733
42093,6501.592
42094,6610.977
42095,6570.199
42096,6535.621
42097,5712.71
42098,5955.089
42099,6581.145
42100,6598.866
42101,6408.327
42102,6421.305
42103,5674.173
42104,5368.262
42105,5066.168
42106,4674.685
42107,5108.622
42108,5455.334
42109,4960.597
42110,4194.691
42111,4915.056
42112,4001.261
42113,3971.989
42114,4410.139
42115,4716.52
42116,4666.1
42117,4476.728
42118,4739.336
42119,4546.387
42120,4417.218
42121,4696.908
42122,5586.514
42123,4990.221
42124,4680.918
42125,3790.656
42126,4779.329
42127,5363.894
42128,5258.993
42129,5170.914
42130,4940.529
42131,5061.612
42132,5358.257
42133,5297.93
42134,5052.674
42135,4468.299
42136,4115.557
42137,4808.566
42138,5401.943
42139,5385.386
42140,5801.973
42141,5538.655
42142,4970.925
42143,5787.338
42144,6004.523
42145,5982.669
42146,6034.743
42147,5865.58
42148,6089.85
42149,6463.604
42150,6089.311
42151,6326.794
42152,6142.782
42153,6322.221
42154,5867.18
42155,5452.885
42156,5752.238
42157,5632.017
42158,5921.507
42159,5533.607
42160,5476.793
42161,5388.819
42162,5131.592
42163,4802.053
42164,5181.872
42165,5616.872
42166,4857.811
42167,5726.564
42168,6063.892
42169,7011.46
42170,7292.939
42171,7749.635
42172,7011.585
42173,5484.94
42174,4049.745
42175,3719.084
42176,3224.945
42177,3647.24
42178,3415.181
42179,3629.127
42180,3961.98
42181,4080.819
42182,4373.94
42183,4358.011
42184,4199.613
42185,4772.974
42186,4766.661
42187,4343.648
42188,4612.543
42189,4350.833
42190,4254.804
42191,4011.342
42192,4205.197
42193,4577.453
42194,4034.228
42195,4349.368
42196,3204.1
42197,3029.515
42198,3636.054
42199,4013.25
42200,4433.704
42201,4049.519
42202,3804.784
42203,3941.206
42204,4147.978
42205,3809.793
42206,4093.652
42207,4395.928
42208,4066.467
42209,3372.984
42210,3846.605
42211,3759.573
42212,3556.161
42213,3729.442
42214,3906.038
42215,4084.848
42216,4439.566
42217,4338.145
42218,4092.368
42219,3474.024
42220,3591.01
42221,3874.036
42222,3649.33
42223,3802.583
42224,4563.734
42225,4254.355
42226,3739.915
42227,4100.475
42228,3892.793
42229,3861.224
42230,3668.066
42231,3513.606
42232,3831.499
42233,4184.571
42234,4260.471
42235,3860.995
42236,4433.103
42237,3794.72
42238,3922.759
42239,4238.447
42240,4229.169
42241,4364.821
42242,4224.19
42243,4012.654
42244,3951.024
