$Spokane,International,Airport,met,data,,1/1/2001,to,
Solar,is,from,Odessa,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD,Solar,
14.289,-3.9,-4.4,2.06,4.36,10,0,
14.331,-3.3,-3.9,2.57,4.19,10,2.67,
14.372,-2.8,-3.3,2.57,4.19,10,20.56,
14.414,-3.3,-3.9,3.09,4.36,7.5,87.82,
14.456,-3.3,-3.9,3.6,4.54,10,227.09,
14.497,-2.8,-3.3,2.06,4.54,10,224.65,
14.539,-2.8,-2.8,2.57,4.71,10,211.64,
14.581,-2.8,-3.3,2.06,4.36,10,183.18,
14.622,-2.8,-3.3,2.06,3.67,10,113.6,
14.664,-3.9,-4.4,2.06,4.01,10,49.02,
14.706,-3.3,-4.4,0,0,10,5.23,
14.747,-3.9,-4.4,2.06,3.49,10,0,
14.789,-4.4,-5,2.06,3.32,10,0,
14.831,-4.4,-5.6,2.06,3.84,10,0,
14.872,-4.4,-5,1.54,2.97,10,0,
14.914,-5,-5.6,1.54,2.27,10,0,
14.956,-5.6,-6.7,0,0,10,0,
14.997,-5.6,-6.7,0,0,10,0,
15.039,-6.7,-8.3,0,0,7.5,0,
15.081,-10,-11.7,0,0,4.4,0,
15.122,-7.8,-8.3,0,0,7.5,0,
15.164,-6.1,-6.7,0,0,10,0,
15.206,-5.6,-6.7,0,0,10,0,
15.247,-5.6,-6.7,0,0,10,0,
15.289,-5.6,-6.1,1.54,6.28,10,0,
15.331,-5,-5.6,1.54,0.52,10,7.78,
15.372,-5,-5.6,1.54,6.28,10,90.26,
15.414,-5,-5.6,2.57,0.7,10,141.95,
15.456,-4.4,-5,1.54,0.17,10,165.3,
15.497,-3.9,-4.4,0,0,7.5,185.74,
15.539,-3.3,-4.4,0,0,4.4,240.1,
15.581,-3.3,-4.4,0,0,4.4,299.81,
15.622,-3.3,-4.4,0,0,4.4,209.32,
15.664,-5.6,-6.7,0,0,4.4,95.72,
15.706,-8.9,-9.4,1.54,4.01,7.5,13.13,
15.747,-11.7,-12.8,1.54,4.19,7.5,0,
15.789,-10,-11.1,0,0,7.5,0,
15.831,-10.6,-11.7,2.06,2.79,7.5,0,
15.872,-11.1,-12.2,0,0,7.5,0,
15.914,-10.6,-11.7,1.54,2.79,7.5,0,
15.956,-11.7,-13.3,0,0,7.5,0,
15.997,-8.9,-10,1.54,2.79,10,0,
16.039,-8.3,-8.9,2.06,2.62,10,0,
16.081,-7.8,-8.9,0,0,10,0,
16.122,-7.8,-8.9,0,0,10,0,
16.164,-7.8,-8.3,0,0,10,0,
16.206,-7.2,-7.8,0,0,10,0,
16.247,-7.8,-8.9,0,0,10,0,
16.289,-6.7,-7.8,0,0,10,0,
16.331,-6.7,-7.8,1.54,2.97,10,2.32,
16.372,-6.7,-7.8,0,0,10,21.26,
16.414,-6.7,-7.2,1.54,2.79,10,62.96,
16.456,-6.1,-7.2,0,0,10,105.01,
16.497,-6.1,-7.2,1.54,2.79,10,120.81,
