$Chehalis WWTP WQ file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chehalis WWTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS   ,Gen1(tracer),Gen2(Age),Gen3(FC),ISS,PO4   ,NH4   ,NO3   ,LDOM  ,RDOM  ,LPOM  ,RPOM  ,BOD1,BOD2,BOD3,BOD4,BOD5,BOD6,BOD7,BOD8,BOD9,BOD10,BODP1,BODP2,BODP3,BODP4,BODP5,BODP6,BODP7,BODP8,BODP9,BODP10,BODN1,BODN2,BODN3,BODN4,BODN5,BODN6,BODN7,BODN8,BODN9,BODN10,ALG1  ,DO    ,TIC   ,ALK   ,ZOO1  ,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
50,0,0,0,2,6.091428571,1.6,0.2,1.7,0,0,0,0,0,0,0,0,3.048,12.192,0,0,0,0,0,0,0,0,0.03048,0.12192,0,0,0,0,0,0,0,0,0.24384,0.97536,0,0,0,0,0,3.57,34.6246,58.5,0,0,0,0,0,0,0,0,0
51,0,0,0,2,0.378285714,1.6,1,1.7,0,0,0,0,0,0,0,0,2.3876,9.5504,0,0,0,0,0,0,0,0,0.023876,0.095504,0,0,0,0,0,0,0,0,0.191008,0.764032,0,0,0,0,0,3.73,37.3515,60.2,0,0,0,0,0,0,0,0,0
52,0,0,0,2,0.275428571,1.6,0.79,1.7,0,0,0,0,0,0,0,0,3.4036,13.6144,0,0,0,0,0,0,0,0,0.034036,0.136144,0,0,0,0,0,0,0,0,0.272288,1.089152,0,0,0,0,0,3.78,34.6246,65,0,0,0,0,0,0,0,0,0
53,0,0,0,8.0,5.181714286,1.6,0.44,1.7,0,0,0,0,0,0,0,0,2.9464,11.7856,0,0,0,0,0,0,0,0,0.029464,0.117856,0,0,0,0,0,0,0,0,0.235712,0.942848,0,0,0,0,0,3.11,32.4894,66.1,0,0,0,0,0,0,0,0,0
54,0,0,0,3.3,5.181714286,1.6,0.44,1.7,0,0,0,0,0,0,0,0,2.9464,11.7856,0,0,0,0,0,0,0,0,0.029464,0.117856,0,0,0,0,0,0,0,0,0.235712,0.942848,0,0,0,0,0,2.36,45.6709,76.4,0,0,0,0,0,0,0,0,0
55,0,0,0,3.3,5.181714286,1.6,0.44,1.7,0,0,0,0,0,0,0,0,2.9464,11.7856,0,0,0,0,0,0,0,0,0.029464,0.117856,0,0,0,0,0,0,0,0,0.235712,0.942848,0,0,0,0,0,4.45,41.2485,76.4,0,0,0,0,0,0,0,0,0
56,0,0,0,3.0,5.181714286,1.6,0.44,1.7,0,0,0,0,0,0,0,0,2.9464,11.7856,0,0,0,0,0,0,0,0,0.029464,0.117856,0,0,0,0,0,0,0,0,0.235712,0.942848,0,0,0,0,0,4.72,29.4294,51,0,0,0,0,0,0,0,0,0
57,0,0,0,2.0,22.13142857,1.6,0.26,1.7,0,0,0,0,0,0,0,0,6.604,26.416,0,0,0,0,0,0,0,0,0.06604,0.26416,0,0,0,0,0,0,0,0,0.52832,2.11328,0,0,0,0,0,4.71,26.6911,42.8,0,0,0,0,0,0,0,0,0
58,0,0,0,2.0,8.075428571,1.6,0.36,1.7,0,0,0,0,0,0,0,0,3.4036,13.6144,0,0,0,0,0,0,0,0,0.034036,0.136144,0,0,0,0,0,0,0,0,0.272288,1.089152,0,0,0,0,0,3.76,30.8118,44.1,0,0,0,0,0,0,0,0,0
59,0,0,0,38.0,6.094857143,1.6,0.81,1.7,0,0,0,0,0,0,0,0,3.6068,14.4272,0,0,0,0,0,0,0,0,0.036068,0.144272,0,0,0,0,0,0,0,0,0.288544,1.154176,0,0,0,0,0,5.49,34.7378,51.2,0,0,0,0,0,0,0,0,0
