$Inflows,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY 1.0= 1/1/2000 12am,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,H2S,CH4,SO4,Tracer,Cond,TCol,ECol,ISS1,PO4,NH4,NO3,LDOM,RDOM,LPOM,RPOM,ALG1,DO,TIC,ALK,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
4429,84.21,0,0,5.012,0,97.33,1620,265.8,6.011,0.1227,5.93E-02,0.1823,0.1566,0.1566,0.1566,0.1566,0.1,7.9,7.849,30.58,7.83E-04,7.83E-04,7.83E-04,7.83E-04,1.25E-02,1.25E-02,1.25E-02,1.25E-02
4430,84.47,0,0,5.014,0,97,1620,265.8,5.332,0.1211,5.81E-02,0.1729,0.1571,0.1571,0.1571,0.1571,0.1,7.9,7.849,30.64,7.86E-04,7.86E-04,7.86E-04,7.86E-04,1.26E-02,1.26E-02,1.26E-02,1.26E-02
4431,84.72,0,0,5.015,0,96.67,1620,265.8,4.653,0.1194,5.69E-02,0.1635,0.1577,0.1577,0.1577,0.1577,0.1,7.9,7.849,30.69,7.88E-04,7.88E-04,7.88E-04,7.88E-04,1.26E-02,1.26E-02,1.26E-02,1.26E-02
4432,84.98,0,0,5.017,0,96.33,1620,265.8,3.974,0.1178,5.57E-02,0.1542,0.1582,0.1582,0.1582,0.1582,0.1,7.9,7.849,30.75,7.91E-04,7.91E-04,7.91E-04,7.91E-04,1.27E-02,1.27E-02,1.27E-02,1.27E-02
4433,85.23,0,0,5.018,0,96,1620,265.8,3.295,0.1161,5.45E-02,0.1448,0.1587,0.1587,0.1587,0.1587,0.1,7.9,7.85,30.8,7.94E-04,7.94E-04,7.94E-04,7.94E-04,1.27E-02,1.27E-02,1.27E-02,1.27E-02
4434,85.49,0,0,5.02,0,95.67,1620,265.8,2.616,0.1145,5.33E-02,0.1354,0.1593,0.1593,0.1593,0.1593,0.1,7.9,10.38,40.23,7.96E-04,7.96E-04,7.96E-04,7.96E-04,1.27E-02,1.27E-02,1.27E-02,1.27E-02
4435,85.74,0,0,5.022,0,95.33,1620,265.8,1.937,0.1128,5.21E-02,0.126,0.1598,0.1598,0.1598,0.1598,0.1,7.9,13,49.67,7.99E-04,7.99E-04,7.99E-04,7.99E-04,1.28E-02,1.28E-02,1.28E-02,1.28E-02
4436,86,0,0,5.023,0,95,1620,265.8,1.259,0.1112,5.09E-02,0.1166,0.1603,0.1603,0.1603,0.1603,0.1,7.9,15.72,59.1,8.02E-04,8.02E-04,8.02E-04,8.02E-04,1.28E-02,1.28E-02,1.28E-02,1.28E-02
4437,85.86,0,0,5.025,0,95.86,1620,265.8,1.346,0.11,5.00E-02,0.11,0.1605,0.1605,0.1605,0.1605,0.1,7.9,15.65,58.86,8.03E-04,8.03E-04,8.03E-04,8.03E-04,1.28E-02,1.28E-02,1.28E-02,1.28E-02
4438,85.72,0,0,5.026,0,96.71,1620,265.8,1.436,0.1101,5.00E-02,0.11,0.1599,0.1599,0.1599,0.1599,0.1,7.9,15.58,58.62,8.00E-04,8.00E-04,8.00E-04,8.00E-04,1.28E-02,1.28E-02,1.28E-02,1.28E-02
4439,85.58,0,0,5.028,0,97.57,1620,265.8,1.526,0.1102,5.00E-02,0.11,0.1593,0.1593,0.1593,0.1593,0.1,7.9,15.51,58.38,7.97E-04,7.97E-04,7.97E-04,7.97E-04,1.28E-02,1.28E-02,1.28E-02,1.28E-02
4440,85.44,0,0,5.03,0,98.43,1620,265.8,1.616,0.1103,5.00E-02,0.11,0.1587,0.1587,0.1587,0.1587,0.1,7.9,15.44,58.14,7.94E-04,7.94E-04,7.94E-04,7.94E-04,1.27E-02,1.27E-02,1.27E-02,1.27E-02
