$inflows,
JDAY 1.0= 1/1/2000 12am,
JDAY,QIN
1887,16.06
1888,16.67
1889,16.48
1890,16.59
1891,14.2
1892,13.61
1893,15.32
1894,14.03
1895,14.34
1896,19.85
1897,18.36
1898,17.47
1899,16.18
1900,15.99
1901,15.3
1902,14.91
1903,14.52
1904,15.43
1905,18.14
1906,21.55
1907,17.06
1908,19.97
1909,23.47
1910,28.38
1911,30.99
1912,24.6
1913,23.71
1914,45.82
1915,52.73
1916,57.44
1917,38.55
1918,34.16
1919,38.47
1920,33.68
1921,28.39
1922,25.8
1923,32.91
1924,37.82
1925,39.72
1926,49.83
1927,62.74
1928,65.45
1929,47.16
1930,38.67
1931,34.08
1932,36.09
1933,34.56
1934,41.63
1935,68.19
1936,48.76
1937,42.83
1938,38.6
1939,36.56
1940,31.73
1941,37.8
1942,38.37
1943,31.03
1944,28.2
1945,28.47
1946,26.64
1947,26.71
1948,30.27
1949,40.54
1950,59.41
1951,59.48
1952,59.54
1953,55.81
1954,61.48
1955,84.65
1956,72.21
1957,72.68
1958,62.05
1959,71.22
1960,95.28
1961,93.65
1962,109.52
1963,101.86
1964,93.6
1965,96.84
1966,74.78
1967,68.82
1968,72.05
1969,65.79
1970,95.33
1971,87.07
1972,71.61
1973,72.55
1974,65.09
1975,58.63
1976,55.17
1977,51.71
1978,99.54
1979,84.28
1980,72.12
1981,78.56
1982,118.3
1983,128.34
1984,146.38
1985,108.42
1986,109.46
1987,101.8
1988,142.53
1989,107.57
1990,92.61
1991,93.35
1992,107.69
1993,84.23
1994,77.79
1995,81.85
1996,74.4
1997,65.16
1998,63.02
1999,79.58
2000,75.14
2001,79.99
2002,92.15
2003,90.51
2004,95.77
2005,78.73
2006,77.78
2007,84.94
2008,71.3
2009,66.86
2010,82.02
2011,77.27
2012,64.63
2013,59.09
2014,57.45
2015,60.31
2016,52.46
2017,62.52
2018,61.98
2019,79.24
2020,83.4
2021,134.55
2022,126.51
2023,152.47
2024,130.45
2025,107.43
2026,96.01
2027,99.79
2028,93.07
2029,99.34
2030,85.32
2031,76.3
2032,70.98
2033,67.86
2034,64.64
2035,60.42
2036,57.1
2037,53.58
2038,50.76
2039,52.93
2040,50.11
2041,55.39
2042,57.77
2043,61.15
2044,56.93
2045,51.11
2046,52.29
2047,47.67
2048,50.45
2049,69.92
2050,86.3
2051,63.28
2052,76.76
2053,109.84
2054,106.82
2055,113.94
2056,127.06
2057,97.48
2058,86.8
2059,78.92
2060,76.44
2061,86.96
2062,95.68
2063,100.1
2064,98.32
2065,117.14
2066,129.26
2067,133.38
2068,106.5
2069,83.62
2070,78.63
2071,126.85
2072,162.97
2073,126.09
2074,149.21
2075,131.33
2076,102.95
2077,91.57
2078,83.69
2079,99.01
2080,99.83
2081,85.95
2082,86.07
2083,85.49
2084,117.41
2085,89.43
2086,77.06
2087,86.89
2088,88.23
2089,240.46
2090,254.69
2091,263.92
2092,217.15
2093,333.39
2094,523.62
2095,674.85
2096,370.08
2097,264.31
2098,248.55
2099,210.78
2100,191.01
2101,224.24
2102,220.47
2103,245.71
2104,220.94
2105,187.17
2106,201.4
2107,225.63
2108,271.87
2109,232.1
2110,200.33
2111,231.56
2112,206.79
2113,183.03
2114,189.26
2115,182.49
2116,170.4
2117,160.31
2118,172.21
2119,185.12
2120,189.03
2121,279.94
2122,263.84
2123,251.75
2124,251.66
