$Reservoir distributed tributary flows - calculated using water balance QDT=outflows-inflows
JDAY 1.0= 1/1/2000 12am
JDAY,QDT,
  4960.0,  -18.41,
  4961.0,   -6.26,
  4962.0,  -23.36,
  4963.0,   -9.92,
  4964.0,   -3.73,
  4965.0,  -21.20,
  4966.0,  -16.44,
  4967.0,  -21.69,
  4968.0,  -26.47,
  4969.0,  -28.95,
  4970.0,  -20.38,
  4971.0,  -16.49,
  4972.0,  -41.83,
  4973.0,   21.63,
  4974.0,   64.62,
  4975.0,  -12.37,
  4976.0,   17.01,
  4977.0,   29.27,
  4978.0,   97.65,
  4979.0,   38.04,
  4980.0,   23.05,
  4981.0,   13.01,
  4982.0,   56.45,
  4983.0,   13.09,
  4984.0,   74.53,
  4985.0,    3.55,
  4986.0,   24.89,
  4987.0,  -10.49,
  4988.0,  -21.42,
  4989.0,   79.52,
  4990.0,  -13.46,
  4991.0,  -13.53,
  4992.0,    7.05,
  4993.0,   16.46,
  4994.0,   28.40,
  4995.0,   26.93,
  4996.0,   11.46,
  4997.0,  -10.69,
  4998.0,   22.87,
  4999.0,   17.31,
  5000.0,  -16.92,
  5001.0,   -2.18,
  5002.0,    9.45,
  5003.0,   51.51,
  5004.0,   -6.54,
  5005.0,    4.92,
  5006.0,   32.32,
  5007.0,   11.61,
  5008.0,   64.36,
  5009.0,   92.75,
  5010.0,  109.68,
  5011.0,  190.98,
  5012.0,   47.60,
  5013.0,   32.13,
  5014.0,   34.00,
  5015.0,    2.62,
  5016.0,  -15.96,
  5017.0,   -0.09,
  5018.0,   42.73,
  5019.0,  -10.79,
  5020.0,   -6.38,
  5021.0,   48.08,
  5022.0,   91.43,
  5023.0,   80.24,
  5024.0,   65.18,
  5025.0,   64.13,
  5026.0,   66.91,
  5027.0,   17.49,
  5028.0,   36.09,
  5029.0,   10.54,
  5030.0,   -6.90,
  5031.0,   15.73,
  5032.0,    5.99,
  5033.0,   16.21,
  5034.0,   -2.46,
  5035.0,  -35.06,
  5036.0,   -4.90,
  5037.0,  -31.46,
  5038.0,   37.10,
  5039.0,    9.09,
  5040.0,   22.27,
  5041.0,    0.95,
