$spokane temperature and wind data data -2000,,,,,,
cloud cover based on odessa short wave solar data,,,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD,
17.039,1.1,-3.3,9.26,3.67,0,
17.081,0.6,-3.9,8.23,3.84,0,
17.122,0,-3.3,8.75,3.67,0,
17.164,0,-3.3,9.26,3.67,0,
17.206,-1.1,-3.3,7.2,3.84,0,
17.247,-1.1,-3.9,5.66,3.67,0,
17.289,-2.2,-4.4,4.63,3.49,0,
17.331,-2.8,-4.4,3.09,2.62,0,
17.372,-1.7,-3.9,3.6,2.44,0,
17.414,-0.6,-2.8,5.15,3.32,0,
17.456,1.1,-2.2,4.63,3.49,0,
17.497,1.7,-2.2,4.12,3.49,0,
17.539,1.7,-2.8,3.09,3.32,0,
17.581,2.2,-3.3,3.6,3.67,0,
17.622,2.8,-3.9,0,0,0,
17.664,1.7,-3.9,0,0,0,
17.706,0,-2.8,2.06,2.27,0,
17.747,-0.6,-2.8,2.57,1.92,0,
17.789,-1.1,-3.3,2.06,1.4,0,
17.831,-2.2,-3.9,2.06,0.52,0,
17.872,-2.2,-4.4,2.57,1.22,0,
17.914,-3.9,-5,1.54,1.22,0,
17.956,-3.9,-5,3.09,1.22,0,
17.997,-4.4,-6.1,2.06,0.7,0,
18.039,-5.6,-6.7,2.57,0.52,0,
18.081,-5.6,-6.7,2.57,0.87,0,
18.122,-5,-6.1,3.09,0.87,0,
18.164,-5.6,-6.7,0,0,0,
18.206,-5.6,-6.7,2.57,0.52,0,
18.247,-6.1,-6.7,2.06,0.52,0,
18.289,-6.7,-7.2,1.54,0.87,0,
18.331,-6.1,-7.2,2.06,0.7,0,
18.372,-5,-6.7,0,0,0,
18.414,-3.9,-5.6,2.06,0.52,0,
18.456,-2.8,-5.6,2.06,1.05,0,
18.497,-1.1,-5,1.54,0.52,0,
18.539,-1.1,-4.4,3.09,5.93,0,
18.581,0,-4.4,0,0,0,
18.622,0,-4.4,0,0,0,
18.664,-0.6,-4.4,0,0,0,
18.706,-3.9,-6.1,2.06,2.44,0,
18.747,-3.9,-6.1,2.06,5.93,0,
18.789,-5.6,-7.2,3.09,4.36,0,
18.831,-5.6,-6.1,4.12,4.01,0,
18.872,-6.1,-6.7,3.09,4.19,0,
18.914,-6.7,-7.8,3.09,5.06,0,
18.956,-7.2,-8.3,2.57,4.54,0,
18.997,-8.3,-9.4,0,0,0,
19.039,-8.3,-9.4,2.57,4.19,0,
19.081,-8.9,-10,2.57,3.67,0,
19.122,-8.9,-10.6,3.09,4.19,0,
19.164,-10.6,-11.7,1.54,3.67,0,
19.206,-10.6,-11.7,4.12,2.97,0,
19.247,-10.6,-11.7,3.09,2.09,0,
19.289,-8.3,-8.9,0,0,0,
19.331,-8.9,-10,2.06,0.87,0,
19.372,-8.3,-9.4,0,0,0,
19.414,-7.2,-8.3,0,0,0,
19.456,-6.1,-7.8,3.6,1.05,0,
19.497,-5.6,-7.2,2.57,0.87,0,
19.539,-5,-6.1,3.09,0.7,0,
