$Temperature file for segment 86,,
,,
JDAY,T,
10.34,4.95,
10.35,4.96,
10.36,4.98,
10.37,4.99,
10.38,5.01,
10.39,5.02,
10.4,5.04,
10.41,5.06,
10.42,5.08,
10.43,5.1,
10.44,5.12,
10.45,5.14,
10.46,5.17,
10.47,5.19,
10.48,5.21,
10.49,5.23,
10.5,5.26,
10.51,5.28,
10.52,5.3,
10.53,5.33,
10.54,5.35,
10.55,5.37,
10.56,5.39,
10.57,5.41,
10.58,5.43,
10.59,5.45,
10.6,5.47,
10.61,5.49,
10.62,5.5,
10.63,5.52,
10.64,5.53,
10.65,5.54,
10.66,5.55,
10.67,5.56,
10.68,5.57,
10.69,5.57,
10.7,5.58,
10.71,5.58,
10.72,5.58,
10.73,5.59,
10.74,5.59,
10.75,5.59,
10.76,5.59,
10.77,5.59,
10.78,5.6,
10.79,5.6,
10.8,5.6,
10.81,5.6,
10.82,5.61,
10.83,5.61,
10.84,5.61,
10.85,5.61,
10.86,5.61,
10.87,5.61,
10.88,5.61,
10.89,5.61,
10.9,5.61,
10.91,5.6,
10.92,5.6,
10.93,5.6,
10.94,5.6,
10.95,5.6,
10.96,5.59,
10.97,5.59,
10.98,5.58,
10.99,5.58,
11,5.57,
11.01,5.58,
11.02,5.58,
11.03,5.58,
11.04,5.58,
11.05,5.59,
11.06,5.59,
11.07,5.59,
11.08,5.58,
11.09,5.58,
11.1,5.58,
11.11,5.58,
11.12,5.58,
11.13,5.58,
11.14,5.59,
11.15,5.59,
11.16,5.59,
11.17,5.59,
11.18,5.6,
11.19,5.6,
11.2,5.61,
11.21,5.61,
11.22,5.62,
11.23,5.63,
11.24,5.63,
11.25,5.64,
11.26,5.65,
11.27,5.66,
11.28,5.67,
11.29,5.68,
11.3,5.69,
11.31,5.7,
11.32,5.71,
11.33,5.72,
11.34,5.73,
11.35,5.73,
11.36,5.74,
11.37,5.75,
11.38,5.76,
11.39,5.77,
11.4,5.78,
11.41,5.79,
11.42,5.79,
11.43,5.8,
11.44,5.81,
11.45,5.82,
11.46,5.82,
11.47,5.83,
11.48,5.84,
11.49,5.84,
