$
,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42,
   0.500,     0.000,    11.200,    11.200,    26.700,    42.200,    57.600,    73.100,     0.000,     0.000,    81.200,    82.100,    83.000,    83.900,    84.800,    85.700,    86.600,    87.500,    88.300,    89.200,    89.800,    89.500,    89.100,    88.700,    88.300,    88.000,    90.500,   129.600,   112.100,    76.300,    74.000,    61.100,    63.400,    80.900,    78.400,    76.000,    73.500,    71.000,    68.500,    66.000,    63.600,    61.100,     0.000, 30
   0.500,     0.000,    11.200,    11.200,    26.700,    42.100,    57.600,    73.100,     0.000,     0.000,    81.200,    82.100,    83.000,    83.900,    84.800,    85.700,    86.600,    87.400,    88.300,    89.200,    89.700,    88.600,    87.500,    86.500,    85.400,    84.300,    86.300,   126.200,   108.800,    73.400,    71.500,    58.100,    60.900,    79.300,    76.800,    74.300,    71.900,    69.400,    66.900,    64.400,    62.000,    59.500,     0.000, 31
   0.500,     0.000,    11.100,    11.100,    26.300,    41.500,    56.800,    72.000,     0.000,     0.000,    80.100,    81.100,    82.100,    83.100,    84.100,    85.100,    86.100,    87.100,    88.100,    89.100,    89.500,    87.800,    86.000,    84.200,    82.500,    80.700,    82.000,   119.900,   103.000,    70.400,    68.600,    55.000,    58.900,    76.800,    74.400,    71.900,    69.400,    66.900,    64.500,    62.000,    59.500,    57.100,     0.000, 32
   0.500,     0.000,    10.800,    10.800,    25.700,    40.600,    55.500,    70.400,     0.000,     0.000,    78.400,    79.600,    80.700,    81.900,    83.100,    84.300,    85.500,    86.600,    87.800,    89.000,    89.400,    86.900,    84.500,    82.000,    79.500,    77.100,    77.700,   105.500,    85.200,    67.400,    65.600,    51.300,    57.400,    74.300,    71.900,    69.500,    67.100,    64.700,    62.300,    59.900,    57.500,    55.100,     0.000, 33
   0.500,     0.000,    10.500,    10.500,    25.000,    39.500,    54.000,    68.500,     0.000,     0.000,    76.300,    77.500,    78.600,    79.800,    80.900,    82.100,    83.200,    84.400,    85.500,    86.700,    87.000,    84.300,    81.600,    78.900,    76.100,    73.400,    73.600,    93.500,    71.100,    64.300,    62.700,    47.200,    55.700,    71.600,    69.100,    66.600,    64.100,    61.600,    59.100,    56.600,    54.100,    51.600,     0.000, 34
   0.500,     0.000,    10.100,    10.100,    23.900,    37.800,    51.600,    65.500,     0.000,     0.000,    72.500,    72.800,    73.000,    73.300,    73.500,    73.800,    74.000,    74.300,    74.500,    74.800,    74.700,    73.400,    72.200,    70.900,    69.600,    68.300,    69.400,    86.600,    66.400,    59.800,    60.200,    42.700,    53.800,    67.200,    64.500,    61.700,    59.000,    56.200,    53.500,    50.800,    48.000,    45.300,     0.000, 35
   0.500,     0.000,     9.500,     9.500,    22.700,    35.800,    49.000,    62.200,     0.000,     0.000,    68.400,    67.800,    67.300,    66.700,    66.200,    65.600,    65.100,    64.500,    63.900,    63.400,    62.900,    62.900,    62.900,    62.900,    62.900,    62.800,    64.500,    78.400,    63.200,    56.100,    57.800,    40.500,    49.900,    62.200,    59.200,    56.100,    53.100,    50.100,    47.000,    44.000,    41.000,    37.900,     0.000, 36
   0.500,     0.000,     9.100,     9.100,    21.500,    34.000,    46.500,    59.000,     0.000,     0.000,    63.700,    60.700,    57.700,    54.700,    51.700,    48.800,    45.800,    42.800,    39.800,    36.800,    35.400,    39.200,    43.100,    47.000,    50.800,    54.700,    59.600,    72.400,    59.900,    52.600,    53.700,    38.400,    45.700,    51.300,    48.300,    45.400,    42.400,    39.400,    36.400,    33.400,    30.500,    27.500,     0.000, 37
   0.500,     0.000,     8.500,     8.500,    20.200,    31.900,    43.700,    55.400,     0.000,     0.000,    58.800,    53.900,    49.100,    44.300,    39.500,    34.700,    29.900,    25.100,    20.300,    15.400,    13.300,    20.100,    26.900,    33.700,    40.500,    47.400,    54.800,    65.800,    55.500,    47.700,    44.400,    36.200,    41.700,    42.100,    38.600,    35.100,    31.600,    28.100,    24.600,    21.100,    17.600,    25.000,     0.000, 38
   0.500,     0.000,     7.300,     7.300,    17.400,    27.500,    37.600,    47.700,     0.000,     0.000,    50.400,    45.900,    41.300,    36.800,    32.200,    27.700,    23.100,    18.600,    14.000,     9.500,     7.500,    14.500,    21.500,    28.500,    35.500,    42.500,    49.900,    59.500,    51.500,    43.700,    38.600,    34.100,    33.500,    37.200,    33.300,    29.500,    25.600,    21.800,    17.900,    14.000,    10.200,    25.000,     0.000, 39
   0.500,     0.000,     5.000,     5.000,    12.000,    18.900,    25.900,    32.800,     0.000,     0.000,    34.500,    31.000,    27.500,    23.900,    20.400,    16.900,    13.300,     9.800,     6.300,     5.000,     5.000,     8.900,    16.100,    23.300,    30.500,    37.700,    45.000,    53.300,    47.400,    39.500,    32.900,    32.000,    24.300,    34.900,    31.000,    27.100,    23.200,    19.300,    15.500,    11.600,     7.700,    25.000,     0.000, 40
   0.500,     0.000,     5.000,     5.000,     6.800,    10.700,    14.700,    18.600,     0.000,     0.000,    19.600,    17.600,    15.600,    13.600,    11.600,     9.600,     7.600,     5.600,     5.000,     5.000,     5.000,     7.900,    14.400,    20.800,    27.300,    33.800,    40.000,    45.800,    42.600,    35.100,    29.400,    29.700,    14.600,    32.900,    29.200,    25.600,    21.900,    18.300,    14.600,    10.900,     7.300,    15.000,     0.000, 41
   0.500,     0.000,     5.000,     5.000,     5.000,     6.300,     8.700,    11.000,     0.000,     0.000,    11.500,    10.300,     9.200,     8.000,     6.800,     5.600,     5.000,     5.000,     5.000,     5.000,     5.000,     5.800,    10.500,    15.200,    19.900,    24.600,    26.200,    13.100,    36.900,    31.000,    26.900,    26.900,     7.200,    30.600,    27.200,    23.800,    20.400,    17.000,    13.600,    10.200,     6.800,    15.000,     0.000, 42
   0.500,     0.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     0.000,     0.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     9.300,    29.500,    27.900,    23.900,    23.600,     5.400,    27.600,    24.500,    21.400,    18.400,    15.300,    12.200,     9.200,     6.100,    15.000,     0.000, 43
   0.500,     0.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     0.000,     0.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,    15.200,    22.100,    15.300,    20.300,     5.000,    24.200,    21.500,    18.800,    16.100,    13.400,    10.700,     8.100,     5.400,    15.000,     0.000, 44
   0.500,     0.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     0.000,     0.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     8.400,    12.200,     5.000,     8.100,     5.000,    20.600,    18.300,    16.100,    13.800,    11.500,     9.200,     6.900,     5.000,    15.000,     0.000, 45
   0.500,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     6.600,     9.600,     0.000,     0.000,     0.000,    17.000,    15.100,    13.200,    11.300,     9.400,     7.500,     5.600,     5.000,    15.000,     0.000, 46
   0.500,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000, 47
